"","ï..DIST","YEAR","SECTOR","BENTOT","BENM","BENF","ALEXP.Values"
"54","Baringo","2008","GE","","","",9494
"55","Baringo","2009","GE","","","",9494
"72","Baringo","2006","TRN","10","6","4",10850
"82","Baringo","2006","TRN","10","7","3",11000
"83","Baringo","2006","TRN","10","5","5",11100
"84","Baringo","2009","TRN","87","45","42",11400
"85","Baringo","2009","TRN","96","6","90",11500
"86","Baringo","2009","TRN","79","37","42",11650
"87","Baringo","2006","TRN","10","6","4",12000
"88","Baringo","2009","TRN","74","17","57",12000
"93","Baringo","2006","TRN","10","7","3",12500
"94","Baringo","2006","TRN","10","5","5",12500
"95","Baringo","2006","TRN","10","6","4",12500
"96","Baringo","2006","TRN","10","5","5",12500
"113","Baringo","2006","TRN","10","6","4",13600
"121","Baringo","2009","TRN","94","25","69",14200
"122","Baringo","2009","TRN","95","29","66",14200
"123","Baringo","2009","TRN","114","53","61",14200
"124","Baringo","2009","TRN","112","26","86",14310
"137","Baringo","2007","GE","176","103","73",14904
"146","Baringo","2008","TRN","7","5","2",15500
"147","Baringo","2008","TRN","8","4","4",15500
"148","Baringo","2008","TRN","9","5","4",15500
"149","Baringo","2008","TRN","10","5","5",15500
"153","Baringo","2009","TRN","74","10","64",15660
"156","Baringo","2009","TRN","114","60","54",16200
"157","Baringo","2006","TRN","8","5","3",16268
"158","Baringo","2006","TRN","10","5","5",16268
"162","Baringo","2009","TRN","78","40","38",16740
"163","Baringo","2009","TRN","87","56","31",17000
"176","Baringo","2009","TRN","100","53","47",18000
"180","Baringo","2006","TRN","8","5","3",18210
"181","Baringo","2006","TRN","10","5","5",18210
"186","Baringo","2006","TRN","10","6","4",18500
"187","Baringo","2006","TRN","7","5","2",18750
"188","Baringo","2006","TRN","10","6","4",19200
"189","Baringo","2009","TRN","98","69","29",19200
"190","Baringo","2009","TRN","102","78","24",19200
"191","Baringo","2009","TRN","109","63","46",19200
"192","Baringo","2009","TRN","110","42","68",19200
"194","Baringo","2009","TRN","1,000","600","400",19312
"197","Baringo","2008","TRN","8","5","3",19400
"198","Baringo","2008","TRN","9","5","4",19400
"199","Baringo","2008","TRN","10","6","4",19400
"200","Baringo","2008","TRN","10","5","5",19400
"201","Baringo","2008","TRN","10","5","5",19400
"202","Baringo","2008","TRN","10","4","6",19400
"211","Baringo","2008","TRAVEL","9,500","5,000","4,500",19952
"212","Baringo","2009","GE","","","",19952
"222","Baringo","2009","TRN","15","8","7",20223
"223","Baringo","2009","TRN","15","7","8",20323
"229","Baringo","2007","TRN","78","38","40",20400
"239","Baringo","2009","TRN","60","45","15",20474
"241","Baringo","2009","TRN","24","15","9",20602
"248","Baringo","2009","TRN","24","14","10",20862
"261","Baringo","2009","GE","28","10","18",21700
"283","Baringo","2009","TRN","15","8","7",22422
"284","Baringo","2009","TRN","15","9","6",22422
"285","Baringo","2009","TRN","16","8","8",22422
"294","Baringo","2006","TRN","120","67","53",23100
"295","Baringo","2006","TRN","336","149","187",23100
"297","Baringo","2006","TRN","180","88","92",23500
"301","Baringo","2006","TRN","265","126","139",23600
"307","Baringo","2006","TRN","94","42","52",24000
"309","Baringo","2006","TRN","231","110","121",24000
"318","Baringo","2009","TRN","60","45","15",24474
"331","Baringo","2007","TRN","291","146","145",25200
"335","Baringo","2008","TRN","80","60","20",25400
"337","Baringo","2007","TRN","212","110","102",25400
"387","Baringo","2006","TRN","297","138","159",27000
"388","Baringo","2006","TRN","321","131","190",27000
"389","Baringo","2006","TRN","380","194","186",27000
"394","Baringo","2008","TRN","","","",27000
"410","Baringo","2006","TRN","156","82","74",28000
"412","Baringo","2006","TRN","269","146","123",28000
"415","Baringo","2006","TRN","217","102","115",28400
"416","Baringo","2006","TRN","327","156","171",28400
"423","Baringo","2007","TRN","177","87","90",28600
"425","Baringo","2006","TRN","197","88","109",28700
"426","Baringo","2009","TRAVEL","","","",28700
"445","Baringo","2006","TRN","274","133","141",29000
"450","Baringo","2006","TRN","319","164","155",29680
"452","Baringo","2006","TRN","280","130","150",29820
"453","Baringo","2006","TRN","286","123","163",29820
"458","Baringo","2008","TRN","88","50","38",30000
"459","Baringo","2008","TRN","90","53","37",30000
"460","Baringo","2008","TRN","103","66","37",30000
"461","Baringo","2008","TRN","105","39","66",30000
"462","Baringo","2008","TRN","105","55","50",30000
"475","Baringo","2007","TRN","124","68","56",30612
"476","Baringo","2007","TRN","140","73","67",30612
"477","Baringo","2007","TRN","146","72","74",30612
"478","Baringo","2007","TRN","188","92","96",30612
"481","Baringo","2009","TRN","103","62","41",30800
"482","Baringo","2009","TRN","110","74","36",30800
"483","Baringo","2009","TRN","150","93","57",30800
"487","Baringo","2009","TRN","96","61","35",31000
"497","Baringo","2009","TRN","15","8","7",31533
"498","Baringo","2009","TRN","15","9","6",31533
"517","Baringo","2008","TRN","10","5","5",32240
"522","Baringo","2008","TRN","10","6","4",32800
"523","Baringo","2008","TRN","10","6","4",32850
"525","Baringo","2008","TRN","10","4","6",33000
"526","Baringo","2008","TRN","115","50","65",33150
"528","Baringo","2008","TRN","103","61","42",33200
"529","Baringo","2008","TRN","104","38","66",33200
"531","Baringo","2007","TRN","101","45","56",33300
"540","Baringo","2009","TRAVEL","","","",33800
"541","Baringo","2006","TRN","10","5","5",33885
"547","Baringo","2006","TRN","10","6","4",34200
"548","Baringo","2006","TRN","10","5","5",34200
"550","Baringo","2006","TRN","17","10","7",34200
"553","Baringo","2007","TRN","29","12","17",34200
"578","Baringo","2006","TRN","10","6","4",34765
"579","Baringo","2006","TRN","10","5","5",34765
"587","Baringo","2006","TRN","166","86","80",34928
"600","Baringo","2006","TRN","8","5","3",35765
"601","Baringo","2006","TRN","10","6","4",35765
"602","Baringo","2006","TRN","10","5","5",35765
